Nucli;ReceptorID;h_rec(m);Ld_turb;Ld_pre;Ld_tot;Le_turb;Le_pre;Le_tot;Ln_turb;Ln_pre;Ln_tot;Lden_turb;Lden_pre;Lden_tot;X;Y
El Fonoll;FON-1;4.0;44.6;53.0;53.6;44.9;52.0;52.8;45.1;49.0;50.5;51.3;56.3;57.5;352466.2;4598962.79
La Sala de Comalats;LSC-1;4.0;45.2;53.0;53.7;45.5;52.0;52.9;45.8;49.0;50.7;51.9;56.3;57.6;351251.0;4597853.0
